,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,1.0,0.0
19,19,1.0,0.0
20,20,1.0,0.0
21,21,1.0,0.0
22,22,1.0,0.0
23,23,2.0,0.0
24,24,2.0,0.0
25,25,3.0,0.0
26,26,10.0,0.0
27,27,10.0,0.0
28,28,10.0,0.0
29,29,10.0,0.0
30,30,12.0,0.0
31,31,16.0,0.0
32,32,16.0,0.0
33,33,79.0,0.0
34,34,115.0,0.0
35,35,171.0,0.0
36,36,205.0,0.0
37,37,225.0,0.0
38,38,258.0,0.0
39,39,267.0,0.0
40,40,283.0,0.0
41,41,306.0,0.0
42,42,326.0,0.0
43,43,352.0,0.0
44,44,369.0,0.0
45,45,404.0,1.0
46,46,538.0,1.0
47,47,575.0,1.0
48,48,645.0,1.0
49,49,679.0,3.0
50,50,715.0,3.0
51,51,745.0,4.0
52,52,779.0,5.0
53,53,858.0,11.0
54,54,961.0,12.0
55,55,1039.0,13.0
56,56,1097.0,15.0
57,57,1108.0,19.0
58,58,1149.0,21.0
59,59,1185.0,24.0
60,60,1207.0,24.0
61,61,1258.0,24.0
62,62,1304.0,24.0
63,63,1309.0,25.0
64,64,1332.0,28.0
