,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,2.0,0.0
28,28,2.0,0.0
29,29,2.0,0.0
30,30,2.0,0.0
31,31,3.0,0.0
32,32,3.0,0.0
33,33,3.0,0.0
34,34,9.0,0.0
35,35,9.0,0.0
36,36,15.0,1.0
37,37,16.0,1.0
38,38,19.0,1.0
39,39,23.0,1.0
40,40,32.0,1.0
41,41,32.0,1.0
42,42,44.0,1.0
43,43,53.0,1.0
44,44,57.0,1.0
45,45,66.0,1.0
46,46,66.0,1.0
47,47,81.0,1.0
48,48,93.0,1.0
49,49,93.0,1.0
50,50,93.0,1.0
51,51,128.0,3.0
52,52,135.0,3.0
53,53,138.0,3.0
54,54,143.0,3.0
55,55,145.0,3.0
56,56,149.0,4.0
57,57,151.0,4.0
58,58,152.0,4.0
59,59,154.0,6.0
60,60,154.0,6.0
61,61,155.0,6.0
