,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,0.0,0.0
31,31,1.0,0.0
32,32,1.0,0.0
33,33,5.0,0.0
34,34,6.0,0.0
35,35,7.0,0.0
36,36,9.0,0.0
37,37,9.0,0.0
38,38,12.0,0.0
39,39,14.0,0.0
40,40,28.0,0.0
41,41,45.0,0.0
42,42,64.0,0.0
43,43,71.0,0.0
44,44,94.0,0.0
45,45,111.0,0.0
46,46,135.0,0.0
47,47,145.0,0.0
48,48,183.0,0.0
49,49,183.0,0.0
50,50,224.0,0.0
51,51,247.0,0.0
52,52,281.0,0.0
53,53,308.0,0.0
54,54,321.0,0.0
55,55,334.0,0.0
56,56,344.0,0.0
57,57,349.0,0.0
58,58,358.0,0.0
59,59,358.0,0.0
60,60,362.0,0.0
61,61,382.0,0.0
62,62,388.0,0.0
63,63,389.0,0.0
64,64,391.0,0.0
