,index,ConfirmedCases,Fatalities
0,0,11.0,0.0
1,1,11.0,0.0
2,2,11.0,0.0
3,3,11.0,0.0
4,4,11.0,0.0
5,5,11.0,0.0
6,6,12.0,1.0
7,7,12.0,1.0
8,8,12.0,1.0
9,9,12.0,1.0
10,10,12.0,1.0
11,11,12.0,1.0
12,12,12.0,1.0
13,13,12.0,1.0
14,14,12.0,1.0
15,15,12.0,1.0
16,16,14.0,1.0
17,17,18.0,2.0
18,18,38.0,2.0
19,19,57.0,2.0
20,20,100.0,2.0
21,21,130.0,2.0
22,22,191.0,3.0
23,23,204.0,4.0
24,24,285.0,4.0
25,25,377.0,6.0
26,26,653.0,9.0
27,27,949.0,11.0
28,28,1126.0,19.0
29,29,1209.0,19.0
30,30,1784.0,33.0
31,31,2281.0,48.0
32,32,2281.0,48.0
33,33,3661.0,79.0
34,34,4469.0,91.0
35,35,4499.0,91.0
36,36,6633.0,148.0
37,37,7652.0,148.0
38,38,9043.0,148.0
39,39,10871.0,243.0
40,40,12612.0,450.0
41,41,14282.0,562.0
42,42,16018.0,674.0
43,43,19856.0,860.0
44,44,22304.0,1100.0
45,45,25233.0,1331.0
46,46,29155.0,1696.0
47,47,32964.0,1995.0
48,48,37575.0,2314.0
49,49,40174.0,2606.0
50,50,44550.0,3024.0
51,51,52128.0,3523.0
52,52,56989.0,4032.0
53,53,59105.0,5387.0
54,54,64338.0,6507.0
55,55,89953.0,7560.0
56,56,92839.0,8078.0
57,57,98010.0,8911.0
58,58,109069.0,10328.0
59,59,112950.0,10869.0
60,60,117749.0,12210.0
61,61,124869.0,13197.0
62,62,129654.0,13832.0
63,63,132591.0,14393.0
64,64,136779.0,14967.0
