,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,1.0,0.0
18,18,1.0,0.0
19,19,1.0,0.0
20,20,1.0,0.0
21,21,3.0,0.0
22,22,3.0,0.0
23,23,3.0,0.0
24,24,3.0,0.0
25,25,4.0,0.0
26,26,4.0,0.0
27,27,4.0,0.0
28,28,13.0,0.0
29,29,15.0,0.0
30,30,15.0,0.0
31,31,24.0,0.0
32,32,24.0,0.0
33,33,25.0,0.0
34,34,30.0,0.0
35,35,33.0,0.0
36,36,33.0,0.0
37,37,34.0,0.0
38,38,38.0,0.0
39,39,40.0,0.0
40,40,43.0,0.0
41,41,49.0,0.0
42,42,54.0,0.0
43,43,61.0,0.0
44,44,70.0,0.0
45,45,75.0,0.0
46,46,79.0,0.0
47,47,83.0,0.0
48,48,90.0,0.0
49,49,91.0,0.0
50,50,103.0,0.0
51,51,110.0,0.0
52,52,117.0,0.0
53,53,134.0,0.0
54,54,155.0,0.0
55,55,162.0,1.0
56,56,174.0,2.0
57,57,188.0,2.0
58,58,196.0,3.0
59,59,211.0,3.0
60,60,218.0,3.0
61,61,234.0,3.0
62,62,242.0,3.0
63,63,257.0,3.0
64,64,272.0,3.0
