,index,ConfirmedCases,Fatalities
0,0,14.0,0.0
1,1,14.0,0.0
2,2,16.0,0.0
3,3,16.0,0.0
4,4,16.0,0.0
5,5,16.0,0.0
6,6,16.0,0.0
7,7,16.0,0.0
8,8,16.0,0.0
9,9,16.0,0.0
10,10,16.0,0.0
11,11,16.0,0.0
12,12,16.0,0.0
13,13,16.0,0.0
14,14,16.0,0.0
15,15,16.0,0.0
16,16,17.0,0.0
17,17,27.0,0.0
18,18,46.0,0.0
19,19,48.0,0.0
20,20,79.0,0.0
21,21,130.0,0.0
22,22,159.0,0.0
23,23,196.0,0.0
24,24,262.0,0.0
25,25,482.0,0.0
26,26,670.0,0.0
27,27,799.0,0.0
28,28,1040.0,0.0
29,29,1176.0,2.0
30,30,1457.0,2.0
31,31,1908.0,3.0
32,32,2078.0,3.0
33,33,3675.0,7.0
34,34,4585.0,9.0
35,35,5795.0,11.0
36,36,7272.0,17.0
37,37,9257.0,24.0
38,38,12327.0,28.0
39,39,15320.0,44.0
40,40,19848.0,67.0
41,41,22213.0,84.0
42,42,24873.0,94.0
43,43,29056.0,123.0
44,44,32986.0,157.0
45,45,37323.0,206.0
46,46,43938.0,267.0
47,47,50871.0,342.0
48,48,57695.0,433.0
49,49,62095.0,533.0
50,50,66885.0,645.0
51,51,71808.0,775.0
52,52,77872.0,920.0
53,53,84794.0,1107.0
54,54,91159.0,1275.0
55,55,96092.0,1444.0
56,56,100123.0,1584.0
57,57,103374.0,1810.0
58,58,107663.0,2016.0
59,59,113296.0,2349.0
60,60,118181.0,2607.0
61,61,122171.0,2767.0
62,62,124908.0,2736.0
63,63,127854.0,3022.0
64,64,130072.0,3194.0
