,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,0.0,0.0
31,31,0.0,0.0
32,32,0.0,0.0
33,33,0.0,0.0
34,34,3.0,0.0
35,35,6.0,0.0
36,36,6.0,0.0
37,37,7.0,0.0
38,38,7.0,0.0
39,39,11.0,0.0
40,40,16.0,0.0
41,41,19.0,1.0
42,42,23.0,1.0
43,43,27.0,2.0
44,44,53.0,2.0
45,45,93.0,4.0
46,46,132.0,4.0
47,47,137.0,4.0
48,48,141.0,5.0
49,49,152.0,5.0
50,50,152.0,5.0
51,51,161.0,5.0
52,52,195.0,5.0
53,53,204.0,5.0
54,54,205.0,5.0
55,55,205.0,5.0
56,56,214.0,5.0
57,57,214.0,5.0
58,58,287.0,5.0
59,59,313.0,6.0
60,60,378.0,6.0
61,61,378.0,6.0
62,62,408.0,8.0
63,63,566.0,8.0
64,64,566.0,8.0
