,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,1.0,0.0
18,18,3.0,0.0
19,19,4.0,0.0
20,20,4.0,0.0
21,21,7.0,0.0
22,22,7.0,0.0
23,23,7.0,0.0
24,24,9.0,0.0
25,25,31.0,0.0
26,26,45.0,0.0
27,27,46.0,0.0
28,28,73.0,0.0
29,29,73.0,0.0
30,30,89.0,0.0
31,31,99.0,1.0
32,32,99.0,1.0
33,33,190.0,1.0
34,34,228.0,3.0
35,35,331.0,4.0
36,36,331.0,4.0
37,37,387.0,5.0
38,38,418.0,5.0
39,39,418.0,6.0
40,40,495.0,6.0
41,41,530.0,13.0
42,42,624.0,15.0
43,43,695.0,17.0
44,44,743.0,20.0
45,45,821.0,22.0
46,46,892.0,26.0
47,47,966.0,28.0
48,48,1061.0,32.0
49,49,1156.0,38.0
50,50,1212.0,43.0
51,51,1314.0,49.0
52,52,1415.0,50.0
53,53,1544.0,53.0
54,54,1613.0,63.0
55,55,1673.0,68.0
56,56,1735.0,73.0
57,57,1755.0,79.0
58,58,1832.0,81.0
59,59,1884.0,83.0
60,60,1955.0,87.0
61,61,2011.0,92.0
62,62,2081.0,93.0
63,63,2114.0,98.0
64,64,2145.0,99.0
