,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,2.0,0.0
25,25,2.0,0.0
26,26,2.0,0.0
27,27,4.0,0.0
28,28,7.0,0.0
29,29,9.0,0.0
30,30,9.0,0.0
31,31,13.0,0.0
32,32,13.0,0.0
33,33,19.0,0.0
34,34,30.0,0.0
35,35,32.0,1.0
36,36,39.0,1.0
37,37,50.0,1.0
38,38,58.0,1.0
39,39,73.0,1.0
40,40,85.0,3.0
41,41,103.0,4.0
42,42,131.0,6.0
43,43,167.0,7.0
44,44,187.0,9.0
45,45,226.0,10.0
46,46,261.0,10.0
47,47,300.0,10.0
48,48,343.0,11.0
49,49,408.0,13.0
50,50,447.0,15.0
51,51,492.0,16.0
52,52,525.0,20.0
53,53,585.0,21.0
54,54,623.0,26.0
55,55,678.0,32.0
56,56,733.0,34.0
57,57,744.0,38.0
58,58,817.0,47.0
59,59,895.0,58.0
60,60,980.0,66.0
61,61,1190.0,77.0
62,62,1310.0,85.0
63,63,1410.0,99.0
64,64,1458.0,109.0
