,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,1.0,0.0
20,20,1.0,0.0
21,21,3.0,0.0
22,22,6.0,0.0
23,23,11.0,0.0
24,24,26.0,0.0
25,25,34.0,0.0
26,26,43.0,0.0
27,27,50.0,0.0
28,28,50.0,0.0
29,29,58.0,0.0
30,30,69.0,0.0
31,31,85.0,0.0
32,32,103.0,0.0
33,33,134.0,0.0
34,34,156.0,0.0
35,35,171.0,5.0
36,36,180.0,0.0
37,37,220.0,1.0
38,38,250.0,1.0
39,39,330.0,1.0
40,40,409.0,0.0
41,41,473.0,1.0
42,42,568.0,1.0
43,43,588.0,1.0
44,44,648.0,2.0
45,45,737.0,2.0
46,46,802.0,2.0
47,47,890.0,2.0
48,48,963.0,2.0
49,49,1020.0,2.0
50,50,1086.0,2.0
51,51,1135.0,2.0
52,52,1220.0,2.0
53,53,1319.0,4.0
54,54,1364.0,4.0
55,55,1417.0,4.0
56,56,1486.0,4.0
57,57,1562.0,6.0
58,58,1586.0,6.0
59,59,1616.0,6.0
60,60,1648.0,6.0
61,61,1675.0,7.0
62,62,1689.0,8.0
63,63,1701.0,8.0
64,64,1711.0,8.0
