,index,ConfirmedCases,Fatalities
0,0,3.0,0.0
1,1,3.0,0.0
2,2,3.0,0.0
3,3,3.0,0.0
4,4,3.0,0.0
5,5,3.0,0.0
6,6,3.0,0.0
7,7,3.0,0.0
8,8,3.0,0.0
9,9,3.0,0.0
10,10,3.0,0.0
11,11,3.0,0.0
12,12,3.0,0.0
13,13,3.0,0.0
14,14,3.0,0.0
15,15,3.0,0.0
16,16,3.0,0.0
17,17,3.0,0.0
18,18,3.0,0.0
19,19,3.0,0.0
20,20,3.0,0.0
21,21,3.0,0.0
22,22,5.0,0.0
23,23,5.0,0.0
24,24,28.0,0.0
25,25,30.0,0.0
26,26,31.0,0.0
27,27,34.0,0.0
28,28,39.0,0.0
29,29,43.0,0.0
30,30,56.0,0.0
31,31,62.0,1.0
32,32,73.0,1.0
33,33,82.0,2.0
34,34,102.0,2.0
35,35,113.0,2.0
36,36,119.0,2.0
37,37,142.0,3.0
38,38,156.0,3.0
39,39,194.0,4.0
40,40,244.0,5.0
41,41,330.0,4.0
42,42,396.0,7.0
43,43,499.0,10.0
44,44,536.0,10.0
45,45,657.0,12.0
46,46,727.0,20.0
47,47,887.0,20.0
48,48,987.0,24.0
49,49,1024.0,27.0
50,50,1251.0,32.0
51,51,1397.0,35.0
52,52,1998.0,58.0
53,53,2543.0,72.0
54,54,2567.0,72.0
55,55,3082.0,86.0
56,56,3588.0,99.0
57,57,4778.0,136.0
58,58,5311.0,150.0
59,59,5916.0,178.0
60,60,6725.0,226.0
61,61,7598.0,246.0
62,62,8446.0,288.0
63,63,9205.0,331.0
64,64,10453.0,358.0
