,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,2.0,0.0
23,23,2.0,0.0
24,24,2.0,0.0
25,25,2.0,0.0
26,26,4.0,0.0
27,27,4.0,0.0
28,28,6.0,0.0
29,29,19.0,0.0
30,30,27.0,0.0
31,31,34.0,1.0
32,32,34.0,1.0
33,33,69.0,4.0
34,34,96.0,5.0
35,35,117.0,5.0
36,36,134.0,5.0
37,37,172.0,5.0
38,38,227.0,19.0
39,39,311.0,25.0
40,40,369.0,32.0
41,41,450.0,38.0
42,42,514.0,48.0
43,43,579.0,49.0
44,44,686.0,55.0
45,45,790.0,58.0
46,46,893.0,78.0
47,47,1046.0,87.0
48,48,1155.0,102.0
49,49,1285.0,114.0
50,50,1414.0,122.0
51,51,1528.0,136.0
52,52,1677.0,157.0
53,53,1790.0,170.0
54,54,1986.0,181.0
55,55,2092.0,191.0
56,56,2273.0,198.0
57,57,2491.0,209.0
58,58,2738.0,221.0
59,59,2956.0,240.0
60,60,3293.0,280.0
61,61,3512.0,306.0
62,62,3842.0,327.0
63,63,4241.0,373.0
64,64,4557.0,399.0
