,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,2.0,2.0
11,11,5.0,2.0
12,12,18.0,4.0
13,13,28.0,5.0
14,14,43.0,8.0
15,15,61.0,12.0
16,16,95.0,16.0
17,17,139.0,19.0
18,18,245.0,26.0
19,19,388.0,34.0
20,20,593.0,43.0
21,21,978.0,54.0
22,22,1501.0,66.0
23,23,2336.0,77.0
24,24,2922.0,92.0
25,25,3513.0,107.0
26,26,4747.0,124.0
27,27,5823.0,145.0
28,28,6566.0,194.0
29,29,7161.0,237.0
30,30,8042.0,291.0
31,31,9000.0,354.0
32,32,10075.0,429.0
33,33,11364.0,514.0
34,34,12729.0,611.0
35,35,13938.0,724.0
36,36,14991.0,853.0
37,37,16169.0,988.0
38,38,17361.0,1135.0
39,39,18407.0,1284.0
40,40,19644.0,1433.0
41,41,20610.0,1556.0
42,42,21638.0,1685.0
43,43,23049.0,1812.0
44,44,24811.0,1934.0
45,45,27017.0,2077.0
46,46,29406.0,2234.0
47,47,32332.0,2378.0
48,48,35408.0,2517.0
49,49,38309.0,2640.0
50,50,41495.0,2757.0
51,51,44605.0,2898.0
52,52,47593.0,3036.0
53,53,50468.0,3160.0
54,54,53183.0,3294.0
55,55,55743.0,3452.0
56,56,58226.0,3603.0
57,57,60500.0,3739.0
58,58,62589.0,3872.0
59,59,64586.0,3993.0
60,60,66220.0,4110.0
61,61,68192.0,4232.0
62,62,70029.0,4357.0
63,63,71686.0,4474.0
64,64,73303.0,4585.0
