,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,1.0,0.0
16,16,1.0,0.0
17,17,5.0,0.0
18,18,7.0,0.0
19,19,7.0,0.0
20,20,13.0,0.0
21,21,19.0,0.0
22,22,26.0,0.0
23,23,32.0,0.0
24,24,35.0,2.0
25,25,35.0,2.0
26,26,40.0,3.0
27,27,54.0,4.0
28,28,60.0,6.0
29,29,60.0,6.0
30,30,71.0,7.0
31,31,71.0,7.0
32,32,71.0,8.0
33,33,101.0,9.0
34,34,110.0,10.0
35,35,116.0,10.0
36,36,124.0,10.0
37,37,154.0,11.0
38,38,164.0,12.0
39,39,192.0,13.0
40,40,208.0,17.0
41,41,214.0,17.0
42,42,233.0,20.0
43,43,266.0,23.0
44,44,316.0,27.0
45,45,346.0,29.0
46,46,382.0,36.0
47,47,458.0,40.0
48,48,506.0,42.0
49,49,547.0,42.0
50,50,630.0,46.0
51,51,694.0,50.0
52,52,728.0,52.0
53,53,772.0,54.0
54,54,820.0,54.0
55,55,878.0,56.0
56,56,961.0,61.0
57,57,1031.0,64.0
58,58,1122.0,65.0
59,59,1202.0,69.0
60,60,1232.0,69.0
61,61,1279.0,70.0
62,62,1318.0,72.0
63,63,1352.0,76.0
64,64,1378.0,78.0
