,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,1.0,0.0
21,21,1.0,0.0
22,22,1.0,0.0
23,23,2.0,0.0
24,24,6.0,0.0
25,25,6.0,0.0
26,26,18.0,0.0
27,27,18.0,0.0
28,28,19.0,0.0
29,29,21.0,0.0
30,30,34.0,0.0
31,31,43.0,1.0
32,32,43.0,1.0
33,33,90.0,1.0
34,34,129.0,2.0
35,35,129.0,2.0
36,36,169.0,2.0
37,37,223.0,2.0
38,38,292.0,2.0
39,39,557.0,3.0
40,40,683.0,3.0
41,41,785.0,3.0
42,42,906.0,4.0
43,43,1125.0,6.0
44,44,1329.0,7.0
45,45,1564.0,9.0
46,46,1819.0,19.0
47,47,2121.0,22.0
48,48,2415.0,36.0
49,49,2615.0,46.0
50,50,2910.0,54.0
51,51,3235.0,71.0
52,52,3447.0,85.0
53,53,3849.0,98.0
54,54,4273.0,120.0
55,55,4604.0,137.0
56,56,4994.0,158.0
57,57,5364.0,174.0
58,58,5709.0,210.0
59,59,6074.0,235.0
60,60,6574.0,263.0
61,61,8089.0,287.0
62,62,8928.0,320.0
63,63,9655.0,334.0
64,64,10647.0,365.0
