,index,ConfirmedCases,Fatalities
0,0,3.0,0.0
1,1,3.0,0.0
2,2,3.0,0.0
3,3,3.0,0.0
4,4,3.0,0.0
5,5,3.0,0.0
6,6,3.0,0.0
7,7,3.0,0.0
8,8,3.0,0.0
9,9,3.0,0.0
10,10,3.0,0.0
11,11,3.0,0.0
12,12,20.0,1.0
13,13,62.0,2.0
14,14,155.0,3.0
15,15,229.0,7.0
16,16,322.0,10.0
17,17,453.0,12.0
18,18,655.0,17.0
19,19,888.0,21.0
20,20,1128.0,29.0
21,21,1694.0,34.0
22,22,2036.0,52.0
23,23,2502.0,79.0
24,24,3089.0,107.0
25,25,3858.0,148.0
26,26,4636.0,197.0
27,27,5883.0,233.0
28,28,7375.0,366.0
29,29,9172.0,463.0
30,30,10149.0,631.0
31,31,12462.0,827.0
32,32,12462.0,827.0
33,33,17660.0,1266.0
34,34,21157.0,1441.0
35,35,24747.0,1809.0
36,36,27980.0,2158.0
37,37,31506.0,2503.0
38,38,35713.0,2978.0
39,39,41035.0,3405.0
40,40,47021.0,4032.0
41,41,53578.0,4825.0
42,42,59138.0,5476.0
43,43,63927.0,6077.0
44,44,69176.0,6820.0
45,45,74386.0,7503.0
46,46,80589.0,8215.0
47,47,86498.0,9134.0
48,48,92472.0,10023.0
49,49,97689.0,10779.0
50,50,101739.0,11591.0
51,51,105792.0,12428.0
52,52,110574.0,13155.0
53,53,115242.0,13915.0
54,54,119827.0,14681.0
55,55,124632.0,15362.0
56,56,128948.0,15887.0
57,57,132547.0,16523.0
58,58,135586.0,17127.0
59,59,139422.0,17669.0
60,60,143626.0,18279.0
61,61,147577.0,18849.0
62,62,152271.0,19468.0
63,63,156363.0,19899.0
64,64,159516.0,20465.0
