,index,ConfirmedCases,Fatalities
0,0,26.0,0.0
1,1,26.0,0.0
2,2,26.0,0.0
3,3,28.0,0.0
4,4,28.0,1.0
5,5,29.0,1.0
6,6,43.0,1.0
7,7,59.0,1.0
8,8,66.0,1.0
9,9,74.0,1.0
10,10,84.0,1.0
11,11,94.0,1.0
12,12,105.0,1.0
13,13,122.0,1.0
14,14,147.0,1.0
15,15,159.0,1.0
16,16,170.0,1.0
17,17,189.0,2.0
18,18,214.0,4.0
19,19,228.0,4.0
20,20,241.0,5.0
21,21,256.0,6.0
22,22,274.0,6.0
23,23,293.0,6.0
24,24,331.0,6.0
25,25,360.0,6.0
26,26,420.0,6.0
27,27,461.0,6.0
28,28,502.0,6.0
29,29,511.0,10.0
30,30,581.0,10.0
31,31,639.0,15.0
32,32,639.0,16.0
33,33,701.0,19.0
34,34,773.0,22.0
35,35,839.0,22.0
36,36,839.0,27.0
37,37,878.0,29.0
38,38,889.0,29.0
39,39,924.0,29.0
40,40,963.0,33.0
41,41,1007.0,35.0
42,42,1101.0,41.0
43,43,1128.0,42.0
44,44,1193.0,43.0
45,45,1307.0,45.0
46,46,1387.0,47.0
47,47,1468.0,49.0
48,48,1693.0,52.0
49,49,1866.0,54.0
50,50,1866.0,54.0
51,51,1953.0,56.0
52,52,2178.0,57.0
53,53,2495.0,62.0
54,54,2617.0,63.0
55,55,3139.0,77.0
56,56,3139.0,77.0
57,57,3654.0,85.0
58,58,3906.0,92.0
59,59,4257.0,93.0
60,60,4667.0,94.0
61,61,5530.0,99.0
62,62,6005.0,99.0
63,63,6748.0,108.0
64,64,7370.0,123.0
