,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,1.0,0.0
24,24,1.0,0.0
25,25,1.0,0.0
26,26,1.0,0.0
27,27,1.0,0.0
28,28,1.0,0.0
29,29,1.0,0.0
30,30,1.0,0.0
31,31,1.0,0.0
32,32,1.0,0.0
33,33,1.0,0.0
34,34,1.0,0.0
35,35,8.0,0.0
36,36,17.0,0.0
37,37,34.0,0.0
38,38,52.0,0.0
39,39,69.0,0.0
40,40,85.0,0.0
41,41,85.0,0.0
42,42,112.0,0.0
43,43,127.0,0.0
44,44,154.0,0.0
45,45,172.0,0.0
46,46,212.0,0.0
47,47,235.0,1.0
48,48,246.0,1.0
49,49,259.0,3.0
50,50,268.0,5.0
51,51,274.0,5.0
52,52,278.0,5.0
53,53,299.0,5.0
54,54,310.0,5.0
55,55,323.0,5.0
56,56,345.0,5.0
57,57,349.0,6.0
58,58,353.0,6.0
59,59,358.0,6.0
60,60,372.0,7.0
61,61,372.0,7.0
62,62,381.0,7.0
63,63,389.0,7.0
64,64,391.0,7.0
