,index,ConfirmedCases,Fatalities
0,0,25.0,0.0
1,1,27.0,0.0
2,2,28.0,0.0
3,3,28.0,0.0
4,4,28.0,0.0
5,5,28.0,0.0
6,6,28.0,0.0
7,7,29.0,0.0
8,8,30.0,0.0
9,9,31.0,0.0
10,10,31.0,0.0
11,11,104.0,1.0
12,12,204.0,2.0
13,13,433.0,2.0
14,14,602.0,6.0
15,15,833.0,8.0
16,16,977.0,10.0
17,17,1261.0,12.0
18,18,1766.0,13.0
19,19,2337.0,13.0
20,20,3150.0,16.0
21,21,3736.0,17.0
22,22,4335.0,28.0
23,23,5186.0,28.0
24,24,5621.0,35.0
25,25,6088.0,35.0
26,26,6593.0,42.0
27,27,7041.0,44.0
28,28,7314.0,50.0
29,29,7478.0,53.0
30,30,7513.0,54.0
31,31,7755.0,60.0
32,32,7869.0,66.0
33,33,7979.0,66.0
34,34,8086.0,72.0
35,35,8162.0,75.0
36,36,8236.0,75.0
37,37,8320.0,81.0
38,38,8413.0,84.0
39,39,8565.0,91.0
40,40,8652.0,94.0
41,41,8799.0,102.0
42,42,8961.0,111.0
43,43,8961.0,111.0
44,44,9037.0,120.0
45,45,9137.0,126.0
46,46,9241.0,131.0
47,47,9332.0,139.0
48,48,9478.0,144.0
49,49,9583.0,152.0
50,50,9661.0,158.0
51,51,9786.0,162.0
52,52,9887.0,165.0
53,53,9976.0,169.0
54,54,10062.0,174.0
55,55,10156.0,177.0
56,56,10237.0,183.0
57,57,10284.0,186.0
58,58,10331.0,192.0
59,59,10384.0,200.0
60,60,10423.0,204.0
61,61,10450.0,208.0
62,62,10480.0,211.0
63,63,10512.0,214.0
64,64,10537.0,217.0
