,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,1.0,0.0
16,16,11.0,0.0
17,17,26.0,0.0
18,18,43.0,0.0
19,19,45.0,0.0
20,20,45.0,0.0
21,21,45.0,0.0
22,22,56.0,0.0
23,23,56.0,0.0
24,24,56.0,0.0
25,25,58.0,0.0
26,26,58.0,0.0
27,27,61.0,0.0
28,28,64.0,0.0
29,29,64.0,0.0
30,30,69.0,0.0
31,31,72.0,0.0
32,32,80.0,0.0
33,33,80.0,0.0
34,34,104.0,0.0
35,35,112.0,0.0
36,36,123.0,0.0
37,37,130.0,0.0
38,38,142.0,0.0
39,39,148.0,0.0
40,40,159.0,0.0
41,41,176.0,0.0
42,42,188.0,0.0
43,43,189.0,0.0
44,44,191.0,0.0
45,45,195.0,0.0
46,46,208.0,0.0
47,47,225.0,0.0
48,48,235.0,0.0
49,49,255.0,0.0
50,50,266.0,0.0
51,51,289.0,0.0
52,52,317.0,0.0
53,53,342.0,0.0
54,54,417.0,0.0
55,55,479.0,1.0
56,56,556.0,1.0
57,57,665.0,1.0
58,58,743.0,1.0
59,59,855.0,1.0
60,60,910.0,1.0
61,61,993.0,1.0
62,62,1154.0,1.0
63,63,1234.0,1.0
64,64,1300.0,2.0
