,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,1.0,0.0
20,20,1.0,0.0
21,21,1.0,0.0
22,22,1.0,0.0
23,23,1.0,0.0
24,24,1.0,0.0
25,25,1.0,0.0
26,26,1.0,0.0
27,27,1.0,0.0
28,28,1.0,0.0
29,29,1.0,0.0
30,30,1.0,0.0
31,31,3.0,0.0
32,32,3.0,0.0
33,33,6.0,0.0
34,34,8.0,0.0
35,35,12.0,0.0
36,36,17.0,0.0
37,37,25.0,0.0
38,38,27.0,0.0
39,39,36.0,0.0
40,40,49.0,0.0
41,41,83.0,1.0
42,42,143.0,1.0
43,43,179.0,1.0
44,44,209.0,2.0
45,45,274.0,4.0
46,46,299.0,4.0
47,47,358.0,5.0
48,48,394.0,7.0
49,49,460.0,7.0
50,50,491.0,7.0
51,51,537.0,8.0
52,52,581.0,8.0
53,53,649.0,9.0
54,54,696.0,9.0
55,55,771.0,11.0
56,56,811.0,13.0
57,57,843.0,15.0
58,58,880.0,15.0
59,59,912.0,15.0
60,60,955.0,16.0
61,61,999.0,22.0
62,62,1026.0,23.0
63,63,1053.0,23.0
64,64,1062.0,24.0
