,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,1.0,0.0
21,21,1.0,0.0
22,22,1.0,0.0
23,23,1.0,0.0
24,24,1.0,0.0
25,25,1.0,0.0
26,26,2.0,0.0
27,27,2.0,0.0
28,28,3.0,0.0
29,29,3.0,0.0
30,30,5.0,0.0
31,31,7.0,0.0
32,32,19.0,0.0
33,33,34.0,0.0
34,34,51.0,1.0
35,35,59.0,1.0
36,36,77.0,1.0
37,37,140.0,1.0
38,38,203.0,2.0
39,39,335.0,4.0
40,40,484.0,4.0
41,41,670.0,8.0
42,42,798.0,8.0
43,43,875.0,8.0
44,44,1099.0,8.0
45,45,1333.0,8.0
46,46,1453.0,9.0
47,47,1605.0,15.0
48,48,1831.0,18.0
49,49,1950.0,21.0
50,50,1988.0,22.0
51,51,2178.0,23.0
52,52,2319.0,29.0
53,53,2487.0,30.0
54,54,2612.0,31.0
55,55,2729.0,31.0
56,56,2804.0,36.0
57,57,2843.0,41.0
58,58,2970.0,44.0
59,59,3034.0,46.0
60,60,3115.0,52.0
61,61,3223.0,54.0
62,62,3270.0,62.0
63,63,3281.0,66.0
64,64,3292.0,69.0
