,index,ConfirmedCases,Fatalities
0,0,16.0,0.0
1,1,18.0,0.0
2,2,18.0,0.0
3,3,18.0,0.0
4,4,19.0,0.0
5,5,19.0,0.0
6,6,22.0,0.0
7,7,22.0,0.0
8,8,22.0,0.0
9,9,22.0,0.0
10,10,22.0,0.0
11,11,22.0,0.0
12,12,22.0,0.0
13,13,22.0,0.0
14,14,22.0,0.0
15,15,22.0,0.0
16,16,22.0,0.0
17,17,22.0,0.0
18,18,23.0,0.0
19,19,23.0,0.0
20,20,25.0,0.0
21,21,29.0,0.0
22,22,29.0,0.0
23,23,36.0,0.0
24,24,50.0,0.0
25,25,50.0,0.0
26,26,83.0,0.0
27,27,93.0,0.0
28,28,99.0,0.0
29,29,117.0,0.0
30,30,129.0,0.0
31,31,149.0,0.0
32,32,149.0,0.0
33,33,197.0,0.0
34,34,238.0,0.0
35,35,428.0,0.0
36,36,566.0,0.0
37,37,673.0,2.0
38,38,790.0,2.0
39,39,900.0,2.0
40,40,1030.0,3.0
41,41,1183.0,4.0
42,42,1306.0,10.0
43,43,1518.0,14.0
44,44,1624.0,16.0
45,45,1796.0,20.0
46,46,2031.0,23.0
47,47,2161.0,26.0
48,48,2320.0,27.0
49,49,2470.0,35.0
50,50,2626.0,37.0
51,51,2766.0,43.0
52,52,2908.0,45.0
53,53,3116.0,50.0
54,54,3333.0,53.0
55,55,3483.0,57.0
56,56,3662.0,61.0
57,57,3793.0,62.0
58,58,3963.0,63.0
59,59,4119.0,65.0
60,60,4228.0,67.0
61,61,4346.0,70.0
62,62,4530.0,73.0
63,63,4683.0,76.0
64,64,4817.0,77.0
