,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,3.0,0.0
28,28,3.0,0.0
29,29,3.0,0.0
30,30,5.0,0.0
31,31,6.0,0.0
32,32,6.0,0.0
33,33,12.0,0.0
34,34,18.0,0.0
35,35,21.0,0.0
36,36,30.0,0.0
37,37,38.0,0.0
38,38,38.0,0.0
39,39,53.0,0.0
40,40,64.0,0.0
41,41,73.0,0.0
42,42,90.0,0.0
43,43,107.0,0.0
44,44,110.0,0.0
45,45,129.0,0.0
46,46,134.0,0.0
47,47,139.0,0.0
48,48,149.0,0.0
49,49,151.0,0.0
50,50,156.0,0.0
51,51,169.0,0.0
52,52,188.0,0.0
53,53,196.0,0.0
54,54,202.0,0.0
55,55,213.0,0.0
56,56,227.0,0.0
57,57,241.0,0.0
58,58,293.0,0.0
59,59,299.0,1.0
60,60,337.0,2.0
61,61,350.0,2.0
62,62,370.0,3.0
63,63,378.0,3.0
64,64,384.0,3.0
