,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,1.0,0.0
20,20,4.0,0.0
21,21,5.0,0.0
22,22,5.0,0.0
23,23,5.0,0.0
24,24,5.0,0.0
25,25,5.0,0.0
26,26,6.0,0.0
27,27,6.0,0.0
28,28,7.0,0.0
29,29,7.0,0.0
30,30,7.0,0.0
31,31,8.0,0.0
32,32,12.0,0.0
33,33,12.0,0.0
34,34,26.0,0.0
35,35,41.0,0.0
36,36,53.0,0.0
37,37,82.0,0.0
38,38,93.0,0.0
39,39,118.0,1.0
40,40,164.0,1.0
41,41,203.0,2.0
42,42,251.0,2.0
43,43,316.0,3.0
44,44,367.0,4.0
45,45,405.0,5.0
46,46,475.0,6.0
47,47,585.0,8.0
48,48,717.0,12.0
49,49,848.0,16.0
50,50,993.0,20.0
51,51,1094.0,28.0
52,52,1215.0,29.0
53,53,1378.0,37.0
54,54,1510.0,50.0
55,55,1688.0,60.0
56,56,1890.0,79.0
57,57,2143.0,94.0
58,58,2439.0,125.0
59,59,2785.0,141.0
60,60,3181.0,174.0
61,61,3441.0,194.0
62,62,3844.0,233.0
63,63,4219.0,273.0
64,64,4661.0,296.0
