,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,1.0,0.0
29,29,1.0,0.0
30,30,3.0,0.0
31,31,3.0,0.0
32,32,3.0,0.0
33,33,6.0,0.0
34,34,12.0,0.0
35,35,23.0,0.0
36,36,23.0,0.0
37,37,30.0,0.0
38,38,30.0,1.0
39,39,49.0,1.0
40,40,66.0,1.0
41,41,80.0,1.0
42,42,94.0,1.0
43,43,109.0,1.0
44,44,125.0,1.0
45,45,149.0,1.0
46,46,177.0,1.0
47,47,199.0,2.0
48,48,231.0,2.0
49,49,263.0,2.0
50,50,298.0,2.0
51,51,353.0,4.0
52,52,423.0,5.0
53,53,505.0,6.0
54,54,591.0,8.0
55,55,752.0,12.0
56,56,864.0,15.0
57,57,965.0,19.0
58,58,1056.0,22.0
59,59,1174.0,27.0
60,60,1289.0,29.0
61,61,1438.0,29.0
62,62,1560.0,30.0
63,63,1662.0,31.0
64,64,1712.0,35.0
