,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,1.0,0.0
21,21,1.0,0.0
22,22,1.0,0.0
23,23,1.0,0.0
24,24,1.0,0.0
25,25,1.0,0.0
26,26,1.0,0.0
27,27,1.0,0.0
28,28,1.0,0.0
29,29,1.0,0.0
30,30,1.0,0.0
31,31,1.0,0.0
32,32,2.0,0.0
33,33,2.0,0.0
34,34,2.0,0.0
35,35,2.0,0.0
36,36,7.0,0.0
37,37,7.0,0.0
38,38,7.0,0.0
39,39,7.0,0.0
40,40,11.0,0.0
41,41,11.0,0.0
42,42,23.0,0.0
43,43,23.0,0.0
44,44,23.0,0.0
45,45,31.0,0.0
46,46,33.0,0.0
47,47,42.0,0.0
48,48,42.0,0.0
49,49,46.0,1.0
50,50,49.0,1.0
51,51,52.0,1.0
52,52,55.0,1.0
53,53,60.0,1.0
54,54,64.0,1.0
55,55,66.0,1.0
56,56,73.0,1.0
57,57,77.0,1.0
58,58,79.0,1.0
59,59,81.0,1.0
60,60,84.0,1.0
61,61,90.0,1.0
62,62,92.0,1.0
63,63,93.0,1.0
64,64,93.0,1.0
