,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,1.0,0.0
23,23,1.0,0.0
24,24,1.0,0.0
25,25,2.0,0.0
26,26,2.0,0.0
27,27,2.0,0.0
28,28,2.0,0.0
29,29,2.0,0.0
30,30,3.0,1.0
31,31,5.0,1.0
32,32,6.0,1.0
33,33,7.0,1.0
34,34,17.0,1.0
35,35,28.0,1.0
36,36,29.0,1.0
37,37,38.0,2.0
38,38,49.0,2.0
39,39,63.0,2.0
40,40,77.0,3.0
41,41,96.0,3.0
42,42,115.0,4.0
43,43,143.0,4.0
44,44,170.0,5.0
45,45,225.0,6.0
46,46,275.0,11.0
47,47,345.0,23.0
48,48,402.0,25.0
49,49,479.0,26.0
50,50,556.0,33.0
51,51,617.0,36.0
52,52,654.0,39.0
53,53,708.0,44.0
54,54,791.0,48.0
55,55,919.0,59.0
56,56,1021.0,70.0
57,57,1120.0,80.0
58,58,1184.0,90.0
59,59,1275.0,93.0
60,60,1374.0,97.0
61,61,1448.0,107.0
62,62,1545.0,111.0
63,63,1661.0,118.0
64,64,1763.0,126.0
