,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,1.0,0.0
19,19,1.0,0.0
20,20,6.0,0.0
21,21,10.0,0.0
22,22,18.0,0.0
23,23,24.0,0.0
24,24,38.0,0.0
25,25,82.0,0.0
26,26,128.0,1.0
27,27,188.0,1.0
28,28,265.0,3.0
29,29,321.0,3.0
30,30,382.0,4.0
31,31,503.0,5.0
32,32,503.0,5.0
33,33,804.0,10.0
34,34,959.0,12.0
35,35,1135.0,20.0
36,36,1413.0,24.0
37,37,1705.0,43.0
38,38,2051.0,58.0
39,39,2460.0,76.0
40,40,2994.0,106.0
41,41,3631.0,136.0
42,42,4204.0,179.0
43,43,4749.0,213.0
44,44,5560.0,276.0
45,45,6412.0,356.0
46,46,7431.0,434.0
47,47,8603.0,546.0
48,48,9762.0,639.0
49,49,10866.0,771.0
50,50,11750.0,864.0
51,51,12595.0,1039.0
52,52,13614.0,1173.0
53,53,14697.0,1339.0
54,54,15723.0,1487.0
55,55,16627.0,1651.0
56,56,17851.0,1766.0
57,57,18803.0,1867.0
58,58,19580.0,2101.0
59,59,20549.0,2248.0
60,60,21762.0,2396.0
61,61,23097.0,2511.0
62,62,24413.0,2643.0
63,63,25587.0,2737.0
64,64,26551.0,2823.0
