,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,1.0,0.0
20,20,1.0,0.0
21,21,1.0,0.0
22,22,1.0,0.0
23,23,1.0,0.0
24,24,3.0,0.0
25,25,3.0,0.0
26,26,4.0,0.0
27,27,5.0,0.0
28,28,5.0,0.0
29,29,5.0,0.0
30,30,5.0,0.0
31,31,5.0,0.0
32,32,5.0,0.0
33,33,5.0,0.0
34,34,6.0,0.0
35,35,8.0,0.0
36,36,8.0,0.0
37,37,12.0,0.0
38,38,20.0,0.0
39,39,28.0,0.0
40,40,39.0,0.0
41,41,52.0,0.0
42,42,102.0,0.0
43,43,102.0,0.0
44,44,155.0,0.0
45,45,205.0,0.0
46,46,283.0,0.0
47,47,368.0,0.0
48,48,451.0,0.0
49,49,514.0,1.0
50,50,589.0,1.0
51,51,647.0,1.0
52,52,708.0,1.0
53,53,797.0,1.0
54,54,868.0,1.0
55,55,950.0,1.0
56,56,1039.0,1.0
57,57,1106.0,1.0
58,58,1160.0,1.0
59,59,1210.0,1.0
60,60,1239.0,1.0
61,61,1283.0,2.0
62,62,1312.0,4.0
63,63,1330.0,4.0
64,64,1349.0,5.0
