,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,1.0,0.0
18,18,1.0,0.0
19,19,1.0,0.0
20,20,1.0,0.0
21,21,1.0,0.0
22,22,1.0,0.0
23,23,1.0,0.0
24,24,1.0,0.0
25,25,1.0,0.0
26,26,3.0,0.0
27,27,3.0,0.0
28,28,3.0,0.0
29,29,3.0,0.0
30,30,7.0,0.0
31,31,7.0,0.0
32,32,7.0,0.0
33,33,14.0,0.0
34,34,14.0,0.0
35,35,14.0,0.0
36,36,18.0,0.0
37,37,26.0,0.0
38,38,35.0,0.0
39,39,48.0,0.0
40,40,67.0,0.0
41,41,85.0,0.0
42,42,115.0,1.0
43,43,136.0,2.0
44,44,148.0,2.0
45,45,177.0,3.0
46,46,201.0,3.0
47,47,219.0,3.0
48,48,241.0,4.0
49,49,259.0,6.0
50,50,285.0,7.0
51,51,329.0,9.0
52,52,354.0,11.0
53,53,384.0,11.0
54,54,430.0,12.0
55,55,483.0,17.0
56,56,555.0,18.0
57,57,570.0,23.0
58,58,599.0,26.0
59,59,617.0,29.0
60,60,663.0,30.0
61,61,711.0,32.0
62,62,760.0,34.0
63,63,828.0,34.0
64,64,854.0,38.0
