,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,1.0,0.0
18,18,1.0,0.0
19,19,6.0,0.0
20,20,15.0,0.0
21,21,19.0,0.0
22,22,25.0,0.0
23,23,32.0,0.0
24,24,56.0,0.0
25,25,87.0,0.0
26,26,108.0,0.0
27,27,147.0,0.0
28,28,176.0,0.0
29,29,205.0,0.0
30,30,400.0,0.0
31,31,598.0,0.0
32,32,702.0,0.0
33,33,996.0,0.0
34,34,1090.0,3.0
35,35,1221.0,3.0
36,36,1333.0,3.0
37,37,1463.0,3.0
38,38,1550.0,6.0
39,39,1746.0,7.0
40,40,1914.0,7.0
41,41,2118.0,7.0
42,42,2385.0,7.0
43,43,2621.0,10.0
44,44,2863.0,12.0
45,45,3084.0,14.0
46,46,3369.0,14.0
47,47,3755.0,19.0
48,48,4015.0,23.0
49,49,4284.0,25.0
50,50,4445.0,32.0
51,51,4641.0,39.0
52,52,4863.0,44.0
53,53,5147.0,50.0
54,54,5370.0,59.0
55,55,5550.0,62.0
56,56,5687.0,71.0
57,57,5865.0,76.0
58,58,6086.0,89.0
59,59,6086.0,101.0
60,60,6211.0,108.0
61,61,6314.0,113.0
62,62,6409.0,119.0
63,63,6525.0,128.0
64,64,6603.0,134.0
