,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,2.0,0.0
16,16,2.0,0.0
17,17,4.0,0.0
18,18,4.0,0.0
19,19,4.0,0.0
20,20,6.0,0.0
21,21,6.0,0.0
22,22,6.0,0.0
23,23,12.0,0.0
24,24,15.0,0.0
25,25,16.0,0.0
26,26,16.0,0.0
27,27,16.0,0.0
28,28,16.0,0.0
29,29,16.0,0.0
30,30,18.0,0.0
31,31,18.0,0.0
32,32,18.0,0.0
33,33,19.0,0.0
34,34,19.0,0.0
35,35,22.0,0.0
36,36,22.0,0.0
37,37,24.0,0.0
38,38,39.0,0.0
39,39,48.0,0.0
40,40,48.0,0.0
41,41,52.0,0.0
42,42,55.0,0.0
43,43,66.0,0.0
44,44,84.0,0.0
45,45,99.0,0.0
46,46,109.0,0.0
47,47,131.0,0.0
48,48,152.0,0.0
49,49,167.0,0.0
50,50,179.0,0.0
51,51,192.0,1.0
52,52,210.0,1.0
53,53,231.0,1.0
54,54,252.0,1.0
55,55,277.0,2.0
56,56,298.0,2.0
57,57,331.0,2.0
58,58,371.0,2.0
59,59,419.0,2.0
60,60,457.0,3.0
61,61,484.0,3.0
62,62,546.0,3.0
63,63,599.0,4.0
64,64,727.0,4.0
