,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,2.0,0.0
18,18,2.0,0.0
19,19,2.0,0.0
20,20,4.0,0.0
21,21,4.0,0.0
22,22,4.0,0.0
23,23,5.0,0.0
24,24,5.0,0.0
25,25,5.0,0.0
26,26,6.0,0.0
27,27,6.0,0.0
28,28,6.0,0.0
29,29,6.0,0.0
30,30,16.0,0.0
31,31,19.0,0.0
32,32,20.0,0.0
33,33,28.0,0.0
34,34,31.0,0.0
35,35,53.0,0.0
36,36,136.0,0.0
37,37,236.0,0.0
38,38,299.0,0.0
39,39,454.0,2.0
40,40,501.0,3.0
41,41,730.0,3.0
42,42,776.0,5.0
43,43,875.0,6.0
44,44,972.0,7.0
45,45,1063.0,8.0
46,46,1201.0,9.0
47,47,1373.0,11.0
48,48,1495.0,12.0
49,49,1597.0,14.0
50,50,1717.0,21.0
51,51,1938.0,26.0
52,52,2118.0,27.0
53,53,2421.0,34.0
54,54,2686.0,40.0
55,55,2818.0,41.0
56,56,3157.0,47.0
57,57,3766.0,53.0
58,58,4035.0,57.0
59,59,4263.0,61.0
60,60,4489.0,65.0
61,61,4695.0,66.0
62,62,5011.0,86.0
63,63,5230.0,91.0
64,64,5496.0,93.0
