,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,1.0,0.0
29,29,1.0,0.0
30,30,1.0,0.0
31,31,5.0,0.0
32,32,5.0,0.0
33,33,6.0,0.0
34,34,6.0,0.0
35,35,6.0,0.0
36,36,8.0,0.0
37,37,9.0,0.0
38,38,11.0,0.0
39,39,11.0,0.0
40,40,13.0,0.0
41,41,18.0,1.0
42,42,22.0,1.0
43,43,22.0,1.0
44,44,27.0,2.0
45,45,37.0,3.0
46,46,41.0,3.0
47,47,52.0,3.0
48,48,56.0,3.0
49,49,59.0,3.0
50,50,64.0,3.0
51,51,65.0,3.0
52,52,69.0,3.0
53,53,77.0,3.0
54,54,92.0,3.0
55,55,96.0,3.0
56,56,104.0,3.0
57,57,113.0,5.0
58,58,115.0,5.0
59,59,119.0,5.0
60,60,124.0,5.0
61,61,129.0,6.0
62,62,133.0,6.0
63,63,134.0,6.0
64,64,147.0,6.0
