,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,1.0,0.0
27,27,1.0,0.0
28,28,6.0,0.0
29,29,7.0,0.0
30,30,11.0,0.0
31,31,11.0,0.0
32,32,15.0,0.0
33,33,28.0,0.0
34,34,38.0,0.0
35,35,43.0,0.0
36,36,86.0,0.0
37,37,117.0,0.0
38,38,145.0,0.0
39,39,234.0,0.0
40,40,234.0,3.0
41,41,318.0,5.0
42,42,363.0,5.0
43,43,395.0,5.0
44,44,416.0,7.0
45,45,480.0,9.0
46,46,580.0,9.0
47,47,635.0,11.0
48,48,671.0,16.0
49,49,852.0,18.0
50,50,950.0,24.0
51,51,1065.0,30.0
52,52,1323.0,38.0
53,53,1414.0,55.0
54,54,1595.0,61.0
55,55,1746.0,73.0
56,56,2281.0,83.0
57,57,2561.0,92.0
58,58,2954.0,107.0
59,59,4342.0,121.0
60,60,5256.0,138.0
61,61,5897.0,169.0
62,62,6848.0,181.0
63,63,7519.0,193.0
64,64,9784.0,216.0
