,index,ConfirmedCases,Fatalities
0,0,3.0,1.0
1,1,3.0,1.0
2,2,3.0,1.0
3,3,3.0,1.0
4,4,3.0,1.0
5,5,3.0,1.0
6,6,3.0,1.0
7,7,3.0,1.0
8,8,3.0,1.0
9,9,3.0,1.0
10,10,3.0,1.0
11,11,3.0,1.0
12,12,3.0,1.0
13,13,3.0,1.0
14,14,3.0,1.0
15,15,3.0,1.0
16,16,3.0,1.0
17,17,3.0,1.0
18,18,3.0,1.0
19,19,3.0,1.0
20,20,3.0,1.0
21,21,3.0,1.0
22,22,3.0,1.0
23,23,3.0,1.0
24,24,3.0,1.0
25,25,3.0,1.0
26,26,5.0,1.0
27,27,6.0,1.0
28,28,10.0,1.0
29,29,20.0,1.0
30,30,33.0,1.0
31,31,49.0,1.0
32,32,52.0,2.0
33,33,64.0,5.0
34,34,111.0,8.0
35,35,140.0,11.0
36,36,142.0,12.0
37,37,187.0,12.0
38,38,202.0,19.0
39,39,217.0,17.0
40,40,230.0,18.0
41,41,307.0,19.0
42,42,380.0,25.0
43,43,462.0,33.0
44,44,552.0,35.0
45,45,636.0,38.0
46,46,707.0,45.0
47,47,803.0,54.0
48,48,1075.0,68.0
49,49,1418.0,71.0
50,50,1546.0,78.0
51,51,2084.0,88.0
52,52,2311.0,96.0
53,53,2633.0,107.0
54,54,3018.0,136.0
55,55,3094.0,144.0
56,56,3246.0,152.0
57,57,3660.0,163.0
58,58,3764.0,177.0
59,59,3870.0,182.0
60,60,4076.0,203.0
61,61,4195.0,221.0
62,62,4428.0,247.0
63,63,4648.0,297.0
64,64,4932.0,315.0
