,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,1.0,0.0
25,25,1.0,0.0
26,26,5.0,0.0
27,27,5.0,0.0
28,28,11.0,0.0
29,29,16.0,0.0
30,30,22.0,0.0
31,31,31.0,0.0
32,32,49.0,1.0
33,33,68.0,2.0
34,34,103.0,3.0
35,35,119.0,3.0
36,36,177.0,4.0
37,37,238.0,5.0
38,38,251.0,5.0
39,39,355.0,5.0
40,40,425.0,5.0
41,41,536.0,5.0
42,42,634.0,7.0
43,43,749.0,8.0
44,44,901.0,10.0
45,45,1051.0,14.0
46,46,1221.0,16.0
47,47,1389.0,16.0
48,48,1638.0,18.0
49,49,1862.0,22.0
50,50,2055.0,31.0
51,51,2311.0,33.0
52,52,2554.0,43.0
53,53,2946.0,57.0
54,54,3383.0,71.0
55,55,3627.0,79.0
56,56,4102.0,94.0
57,57,4413.0,107.0
58,58,4848.0,129.0
59,59,5205.0,159.0
60,60,5575.0,174.0
61,61,5955.0,181.0
62,62,6356.0,208.0
63,63,6674.0,232.0
64,64,6934.0,245.0
