,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,2.0,0.0
23,23,2.0,0.0
24,24,5.0,0.0
25,25,8.0,0.0
26,26,13.0,0.0
27,27,20.0,0.0
28,28,30.0,0.0
29,29,30.0,0.0
30,30,41.0,0.0
31,31,59.0,0.0
32,32,59.0,0.0
33,33,112.0,0.0
34,34,169.0,0.0
35,35,245.0,0.0
36,36,331.0,0.0
37,37,448.0,1.0
38,38,448.0,2.0
39,39,785.0,3.0
40,40,1020.0,6.0
41,41,1280.0,12.0
42,42,1600.0,14.0
43,43,2060.0,23.0
44,44,2362.0,33.0
45,45,2995.0,43.0
46,46,3544.0,60.0
47,47,4268.0,76.0
48,48,5170.0,100.0
49,49,5962.0,119.0
50,50,6408.0,140.0
51,51,7443.0,160.0
52,52,8251.0,187.0
53,53,9034.0,209.0
54,54,9886.0,246.0
55,55,10524.0,266.0
56,56,11278.0,295.0
57,57,11730.0,311.0
58,58,12442.0,345.0
59,59,13141.0,380.0
60,60,13956.0,409.0
61,61,15472.0,435.0
62,62,15987.0,470.0
63,63,16585.0,504.0
64,64,16934.0,535.0
