,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,1.0,0.0
21,21,3.0,0.0
22,22,3.0,0.0
23,23,7.0,0.0
24,24,8.0,0.0
25,25,8.0,0.0
26,26,8.0,0.0
27,27,8.0,0.0
28,28,15.0,0.0
29,29,18.0,0.0
30,30,24.0,0.0
31,31,262.0,0.0
32,32,262.0,0.0
33,33,320.0,0.0
34,34,337.0,0.0
35,35,401.0,0.0
36,36,439.0,0.0
37,37,439.0,0.0
38,38,452.0,0.0
39,39,460.0,0.0
40,40,470.0,0.0
41,41,481.0,0.0
42,42,494.0,0.0
43,43,501.0,0.0
44,44,526.0,0.0
45,45,537.0,0.0
46,46,549.0,0.0
47,47,562.0,0.0
48,48,590.0,1.0
49,49,634.0,1.0
50,50,693.0,1.0
51,51,781.0,2.0
52,52,835.0,2.0
53,53,949.0,3.0
54,54,1075.0,3.0
55,55,1325.0,3.0
56,56,1604.0,4.0
57,57,1832.0,4.0
58,58,2057.0,6.0
59,59,2210.0,6.0
60,60,2376.0,6.0
61,61,2512.0,6.0
62,62,2728.0,6.0
63,63,2979.0,7.0
64,64,3231.0,7.0
