,index,ConfirmedCases,Fatalities
0,0,2.0,0.0
1,1,2.0,0.0
2,2,2.0,0.0
3,3,2.0,0.0
4,4,2.0,0.0
5,5,2.0,0.0
6,6,2.0,0.0
7,7,2.0,0.0
8,8,2.0,0.0
9,9,2.0,0.0
10,10,2.0,0.0
11,11,2.0,0.0
12,12,2.0,0.0
13,13,2.0,0.0
14,14,2.0,0.0
15,15,2.0,0.0
16,16,2.0,0.0
17,17,2.0,0.0
18,18,2.0,0.0
19,19,2.0,0.0
20,20,2.0,0.0
21,21,2.0,0.0
22,22,3.0,0.0
23,23,3.0,0.0
24,24,3.0,0.0
25,25,4.0,0.0
26,26,13.0,0.0
27,27,13.0,0.0
28,28,17.0,0.0
29,29,17.0,0.0
30,30,20.0,0.0
31,31,20.0,0.0
32,32,28.0,0.0
33,33,45.0,0.0
34,34,59.0,0.0
35,35,63.0,0.0
36,36,90.0,0.0
37,37,114.0,0.0
38,38,147.0,0.0
39,39,199.0,1.0
40,40,253.0,1.0
41,41,306.0,1.0
42,42,367.0,1.0
43,43,438.0,1.0
44,44,495.0,1.0
45,45,658.0,3.0
46,46,840.0,3.0
47,47,1036.0,4.0
48,48,1264.0,4.0
49,49,1534.0,8.0
50,50,1836.0,9.0
51,51,2337.0,17.0
52,52,2777.0,24.0
53,53,3548.0,30.0
54,54,4149.0,34.0
55,55,4731.0,43.0
56,56,5389.0,45.0
57,57,6343.0,47.0
58,58,7497.0,58.0
59,59,8672.0,63.0
60,60,10131.0,76.0
61,61,11917.0,94.0
62,62,13584.0,106.0
63,63,15770.0,130.0
64,64,18328.0,148.0
