,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,1.0,0.0
19,19,1.0,0.0
20,20,1.0,0.0
21,21,1.0,0.0
22,22,8.0,0.0
23,23,10.0,1.0
24,24,16.0,1.0
25,25,21.0,1.0
26,26,21.0,1.0
27,27,23.0,1.0
28,28,36.0,1.0
29,29,36.0,1.0
30,30,51.0,2.0
31,31,62.0,2.0
32,32,69.0,3.0
33,33,80.0,5.0
34,34,80.0,5.0
35,35,101.0,5.0
36,36,109.0,7.0
37,37,109.0,7.0
38,38,119.0,11.0
39,39,119.0,11.0
40,40,144.0,14.0
41,41,144.0,20.0
42,42,175.0,20.0
43,43,187.0,20.0
44,44,187.0,21.0
45,45,208.0,21.0
46,46,208.0,21.0
47,47,223.0,21.0
48,48,224.0,22.0
49,49,224.0,22.0
50,50,230.0,25.0
51,51,236.0,26.0
52,52,236.0,26.0
53,53,245.0,30.0
54,54,245.0,30.0
55,55,259.0,32.0
56,56,266.0,32.0
57,57,266.0,32.0
58,58,279.0,34.0
59,59,279.0,34.0
60,60,333.0,34.0
61,61,344.0,34.0
62,62,356.0,35.0
63,63,356.0,35.0
64,64,356.0,35.0
