,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,1.0,0.0
27,27,1.0,0.0
28,28,1.0,0.0
29,29,1.0,0.0
30,30,5.0,0.0
31,31,12.0,0.0
32,32,19.0,0.0
33,33,35.0,0.0
34,34,46.0,0.0
35,35,48.0,0.0
36,36,55.0,0.0
37,37,65.0,0.0
38,38,83.0,0.0
39,39,103.0,0.0
40,40,135.0,1.0
41,41,171.0,1.0
42,42,222.0,2.0
43,43,249.0,3.0
44,44,303.0,3.0
45,45,384.0,4.0
46,46,384.0,1.0
47,47,457.0,1.0
48,48,659.0,10.0
49,49,741.0,13.0
50,50,785.0,16.0
51,51,900.0,16.0
52,52,1060.0,28.0
53,53,1171.0,31.0
54,54,1476.0,39.0
55,55,1624.0,44.0
56,56,1908.0,51.0
57,57,2200.0,58.0
58,58,2447.0,61.0
59,59,2666.0,65.0
60,60,2867.0,66.0
61,61,3105.0,71.0
62,62,3380.0,74.0
63,63,3630.0,80.0
64,64,4054.0,85.0
