,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,2.0,0.0
26,26,7.0,0.0
27,27,7.0,0.0
28,28,16.0,0.0
29,29,16.0,0.0
30,30,31.0,0.0
31,31,57.0,0.0
32,32,89.0,0.0
33,33,141.0,0.0
34,34,181.0,1.0
35,35,219.0,1.0
36,36,253.0,1.0
37,37,275.0,1.0
38,38,275.0,1.0
39,39,286.0,1.0
40,40,341.0,1.0
41,41,383.0,1.0
42,42,414.0,2.0
43,43,442.0,3.0
44,44,480.0,4.0
45,45,528.0,5.0
46,46,562.0,6.0
47,47,632.0,9.0
48,48,684.0,9.0
49,49,730.0,11.0
50,50,756.0,11.0
51,51,802.0,15.0
52,52,841.0,15.0
53,53,897.0,17.0
54,54,934.0,20.0
55,55,977.0,22.0
56,56,997.0,28.0
57,57,1021.0,30.0
58,58,1059.0,36.0
59,59,1091.0,40.0
60,60,1124.0,43.0
61,61,1160.0,45.0
62,62,1188.0,50.0
63,63,1205.0,53.0
64,64,1212.0,55.0
