,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,1.0,0.0
26,26,1.0,0.0
27,27,1.0,0.0
28,28,3.0,0.0
29,29,3.0,0.0
30,30,7.0,0.0
31,31,13.0,0.0
32,32,17.0,0.0
33,33,24.0,0.0
34,34,38.0,0.0
35,35,51.0,0.0
36,36,62.0,0.0
37,37,62.0,0.0
38,38,116.0,0.0
39,39,150.0,0.0
40,40,202.0,0.0
41,41,240.0,0.0
42,42,274.0,0.0
43,43,402.0,0.0
44,44,554.0,0.0
45,45,709.0,0.0
46,46,927.0,0.0
47,47,1170.0,1.0
48,48,1187.0,1.0
49,49,1280.0,2.0
50,50,1326.0,3.0
51,51,1353.0,5.0
52,52,1380.0,5.0
53,53,1462.0,5.0
54,54,1505.0,9.0
55,55,1585.0,9.0
56,56,1655.0,11.0
57,57,1686.0,12.0
58,58,1749.0,13.0
59,59,1845.0,18.0
60,60,1934.0,18.0
61,61,2003.0,24.0
62,62,2028.0,25.0
63,63,2173.0,25.0
64,64,2272.0,27.0
