,index,ConfirmedCases,Fatalities
0,0,2.0,0.0
1,1,2.0,0.0
2,2,2.0,0.0
3,3,2.0,0.0
4,4,2.0,0.0
5,5,2.0,0.0
6,6,2.0,0.0
7,7,2.0,0.0
8,8,2.0,0.0
9,9,2.0,0.0
10,10,2.0,0.0
11,11,2.0,0.0
12,12,2.0,0.0
13,13,2.0,0.0
14,14,2.0,0.0
15,15,2.0,0.0
16,16,6.0,0.0
17,17,13.0,0.0
18,18,15.0,0.0
19,19,32.0,0.0
20,20,45.0,0.0
21,21,84.0,0.0
22,22,120.0,0.0
23,23,165.0,1.0
24,24,222.0,2.0
25,25,259.0,3.0
26,26,400.0,5.0
27,27,500.0,10.0
28,28,673.0,17.0
29,29,1073.0,28.0
30,30,1695.0,35.0
31,31,2277.0,54.0
32,32,2277.0,55.0
33,33,5232.0,133.0
34,34,6391.0,195.0
35,35,7798.0,289.0
36,36,9942.0,342.0
37,37,11748.0,533.0
38,38,13910.0,623.0
39,39,17963.0,830.0
40,40,20410.0,1043.0
41,41,25374.0,1375.0
42,42,28768.0,1772.0
43,43,35136.0,2311.0
44,44,39885.0,2808.0
45,45,49515.0,3647.0
46,46,57786.0,4365.0
47,47,65719.0,5138.0
48,48,73235.0,5982.0
49,49,80110.0,6803.0
50,50,87956.0,7716.0
51,51,95923.0,8464.0
52,52,104118.0,9387.0
53,53,112065.0,10348.0
54,54,119199.0,11198.0
55,55,126168.0,11947.0
56,56,131646.0,12641.0
57,57,136675.0,13341.0
58,58,141942.0,14045.0
59,59,148220.0,14792.0
60,60,153222.0,15447.0
61,61,158273.0,16081.0
62,62,163027.0,16606.0
63,63,166831.0,17209.0
64,64,170099.0,17756.0
