,index,ConfirmedCases,Fatalities
0,0,1.0,0.0
1,1,1.0,0.0
2,2,1.0,0.0
3,3,1.0,0.0
4,4,1.0,0.0
5,5,1.0,0.0
6,6,1.0,0.0
7,7,1.0,0.0
8,8,1.0,0.0
9,9,1.0,0.0
10,10,1.0,0.0
11,11,1.0,0.0
12,12,1.0,0.0
13,13,1.0,0.0
14,14,1.0,0.0
15,15,1.0,0.0
16,16,1.0,0.0
17,17,1.0,0.0
18,18,1.0,0.0
19,19,1.0,0.0
20,20,1.0,0.0
21,21,1.0,0.0
22,22,1.0,0.0
23,23,1.0,0.0
24,24,1.0,0.0
25,25,1.0,0.0
26,26,1.0,0.0
27,27,1.0,0.0
28,28,1.0,0.0
29,29,1.0,0.0
30,30,1.0,0.0
31,31,2.0,0.0
32,32,2.0,0.0
33,33,6.0,0.0
34,34,10.0,0.0
35,35,18.0,0.0
36,36,28.0,0.0
37,37,44.0,0.0
38,38,51.0,0.0
39,39,60.0,0.0
40,40,73.0,0.0
41,41,77.0,0.0
42,42,82.0,0.0
43,43,97.0,0.0
44,44,102.0,0.0
45,45,102.0,0.0
46,46,106.0,0.0
47,47,106.0,0.0
48,48,113.0,1.0
49,49,117.0,1.0
50,50,122.0,2.0
51,51,143.0,2.0
52,52,146.0,3.0
53,53,151.0,4.0
54,54,159.0,4.0
55,55,166.0,5.0
56,56,176.0,5.0
57,57,178.0,5.0
58,58,185.0,6.0
59,59,189.0,7.0
60,60,190.0,7.0
61,61,190.0,7.0
62,62,198.0,7.0
63,63,210.0,7.0
64,64,217.0,7.0
