,index,ConfirmedCases,Fatalities
0,0,1.0,0.0
1,1,1.0,0.0
2,2,1.0,0.0
3,3,1.0,0.0
4,4,1.0,0.0
5,5,1.0,0.0
6,6,1.0,0.0
7,7,1.0,0.0
8,8,1.0,0.0
9,9,1.0,0.0
10,10,1.0,0.0
11,11,1.0,0.0
12,12,1.0,0.0
13,13,1.0,0.0
14,14,1.0,0.0
15,15,1.0,0.0
16,16,1.0,0.0
17,17,2.0,0.0
18,18,7.0,0.0
19,19,7.0,0.0
20,20,12.0,0.0
21,21,14.0,0.0
22,22,15.0,0.0
23,23,21.0,0.0
24,24,35.0,0.0
25,25,94.0,0.0
26,26,101.0,0.0
27,27,161.0,0.0
28,28,203.0,0.0
29,29,248.0,0.0
30,30,355.0,0.0
31,31,500.0,1.0
32,32,599.0,1.0
33,33,814.0,1.0
34,34,961.0,2.0
35,35,1022.0,3.0
36,36,1103.0,6.0
37,37,1190.0,7.0
38,38,1279.0,10.0
39,39,1439.0,11.0
40,40,1639.0,16.0
41,41,1763.0,20.0
42,42,1934.0,21.0
43,43,2046.0,25.0
44,44,2286.0,36.0
45,45,2526.0,62.0
46,46,2840.0,77.0
47,47,3069.0,105.0
48,48,3447.0,105.0
49,49,3700.0,110.0
50,50,4028.0,146.0
51,51,4435.0,180.0
52,52,4947.0,239.0
53,53,5568.0,308.0
54,54,6131.0,358.0
55,55,6443.0,373.0
56,56,6830.0,401.0
57,57,7206.0,477.0
58,58,7693.0,591.0
59,59,8419.0,687.0
60,60,9141.0,793.0
61,61,9685.0,870.0
62,62,10151.0,887.0
63,63,10483.0,899.0
64,64,10948.0,919.0
