,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,1.0,0.0
17,17,1.0,0.0
18,18,8.0,0.0
19,19,8.0,0.0
20,20,18.0,0.0
21,21,27.0,0.0
22,22,42.0,0.0
23,23,56.0,0.0
24,24,90.0,0.0
25,25,114.0,1.0
26,26,214.0,1.0
27,27,268.0,1.0
28,28,337.0,2.0
29,29,374.0,2.0
30,30,491.0,3.0
31,31,652.0,4.0
32,32,652.0,4.0
33,33,1139.0,11.0
34,34,1359.0,13.0
35,35,2200.0,14.0
36,36,2200.0,14.0
37,37,2700.0,27.0
38,38,3028.0,28.0
39,39,4075.0,41.0
40,40,5294.0,54.0
41,41,6575.0,75.0
42,42,7474.0,98.0
43,43,8795.0,120.0
44,44,9877.0,122.0
45,45,10897.0,153.0
46,46,11811.0,191.0
47,47,12928.0,231.0
48,48,14076.0,264.0
49,49,14829.0,300.0
50,50,15922.0,359.0
51,51,16605.0,433.0
52,52,17768.0,488.0
53,53,18827.0,536.0
54,54,19606.0,591.0
55,55,20505.0,666.0
56,56,21100.0,715.0
57,57,21657.0,765.0
58,58,22253.0,821.0
59,59,23280.0,895.0
60,60,24051.0,948.0
61,61,24551.0,1002.0
62,62,25107.0,1036.0
63,63,25415.0,1106.0
64,64,25688.0,1138.0
