,index,ConfirmedCases,Fatalities
0,0,18.0,0.0
1,1,18.0,0.0
2,2,18.0,0.0
3,3,18.0,0.0
4,4,18.0,0.0
5,5,18.0,0.0
6,6,18.0,0.0
7,7,20.0,1.0
8,8,22.0,1.0
9,9,22.0,1.0
10,10,23.0,1.0
11,11,24.0,1.0
12,12,26.0,1.0
13,13,26.0,1.0
14,14,28.0,1.0
15,15,30.0,1.0
16,16,31.0,1.0
17,17,32.0,1.0
18,18,32.0,1.0
19,19,34.0,1.0
20,20,39.0,1.0
21,21,40.0,1.0
22,22,41.0,1.0
23,23,42.0,1.0
24,24,42.0,1.0
25,25,44.0,1.0
26,26,45.0,1.0
27,27,45.0,1.0
28,28,45.0,1.0
29,29,45.0,1.0
30,30,47.0,1.0
31,31,48.0,1.0
32,32,49.0,1.0
33,33,50.0,1.0
34,34,53.0,1.0
35,35,59.0,1.0
36,36,67.0,1.0
37,37,77.0,1.0
38,38,100.0,1.0
39,39,108.0,1.0
40,40,135.0,2.0
41,41,153.0,2.0
42,42,169.0,2.0
43,43,195.0,2.0
44,44,215.0,2.0
45,45,235.0,2.0
46,46,252.0,2.0
47,47,267.0,2.0
48,48,283.0,2.0
49,49,298.0,2.0
50,50,306.0,5.0
51,51,322.0,5.0
52,52,329.0,5.0
53,53,339.0,5.0
54,54,348.0,5.0
55,55,355.0,5.0
56,56,363.0,5.0
57,57,373.0,5.0
58,58,376.0,5.0
59,59,379.0,5.0
60,60,380.0,5.0
61,61,382.0,6.0
62,62,385.0,6.0
63,63,388.0,6.0
64,64,393.0,6.0
