,index,ConfirmedCases,Fatalities
0,0,32.0,0.0
1,1,32.0,0.0
2,2,33.0,0.0
3,3,33.0,0.0
4,4,33.0,0.0
5,5,33.0,0.0
6,6,33.0,0.0
7,7,34.0,0.0
8,8,35.0,0.0
9,9,35.0,0.0
10,10,35.0,0.0
11,11,35.0,0.0
12,12,35.0,0.0
13,13,35.0,0.0
14,14,35.0,0.0
15,15,35.0,0.0
16,16,37.0,0.0
17,17,40.0,0.0
18,18,40.0,0.0
19,19,41.0,0.0
20,20,42.0,0.0
21,21,42.0,1.0
22,22,43.0,1.0
23,23,43.0,1.0
24,24,43.0,1.0
25,25,47.0,1.0
26,26,48.0,1.0
27,27,50.0,1.0
28,28,50.0,1.0
29,29,50.0,1.0
30,30,53.0,1.0
31,31,59.0,1.0
32,32,70.0,1.0
33,33,75.0,1.0
34,34,82.0,1.0
35,35,114.0,1.0
36,36,147.0,1.0
37,37,177.0,1.0
38,38,212.0,1.0
39,39,272.0,1.0
40,40,322.0,1.0
41,41,411.0,1.0
42,42,599.0,1.0
43,43,721.0,1.0
44,44,827.0,4.0
45,45,934.0,4.0
46,46,1045.0,4.0
47,47,1136.0,5.0
48,48,1245.0,6.0
49,49,1388.0,7.0
50,50,1524.0,9.0
51,51,1651.0,10.0
52,52,1771.0,12.0
53,53,1875.0,15.0
54,54,1978.0,19.0
55,55,2067.0,20.0
56,56,2169.0,23.0
57,57,2220.0,26.0
58,58,2258.0,27.0
59,59,2369.0,30.0
60,60,2423.0,32.0
61,61,2473.0,33.0
62,62,2518.0,35.0
63,63,2551.0,38.0
64,64,2579.0,40.0
