,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,0.0,0.0
31,31,1.0,0.0
32,32,1.0,0.0
33,33,5.0,0.0
34,34,5.0,0.0
35,35,6.0,0.0
36,36,18.0,0.0
37,37,47.0,1.0
38,38,98.0,1.0
39,39,192.0,3.0
40,40,359.0,4.0
41,41,670.0,9.0
42,42,1236.0,30.0
43,43,1529.0,37.0
44,44,1872.0,44.0
45,45,2433.0,59.0
46,46,3629.0,75.0
47,47,5698.0,92.0
48,48,7402.0,108.0
49,49,9217.0,131.0
50,50,10827.0,168.0
51,51,13531.0,214.0
52,52,15679.0,277.0
53,53,18135.0,356.0
54,54,20921.0,425.0
55,55,23934.0,501.0
56,56,27069.0,574.0
57,57,30217.0,649.0
58,58,34109.0,725.0
59,59,38226.0,812.0
60,60,42282.0,908.0
61,61,47029.0,1006.0
62,62,52167.0,1101.0
63,63,56956.0,1198.0
64,64,61049.0,1296.0
