,index,ConfirmedCases,Fatalities
0,0,3.0,0.0
1,1,8.0,0.0
2,2,8.0,0.0
3,3,9.0,0.0
4,4,9.0,0.0
5,5,9.0,0.0
6,6,9.0,0.0
7,7,9.0,0.0
8,8,9.0,0.0
9,9,9.0,0.0
10,10,9.0,0.0
11,11,9.0,0.0
12,12,9.0,0.0
13,13,9.0,0.0
14,14,9.0,0.0
15,15,13.0,0.0
16,16,13.0,0.0
17,17,13.0,0.0
18,18,15.0,0.0
19,19,20.0,0.0
20,20,23.0,0.0
21,21,36.0,0.0
22,22,40.0,0.0
23,23,51.0,0.0
24,24,85.0,0.0
25,25,115.0,1.0
26,26,163.0,2.0
27,27,206.0,2.0
28,28,273.0,3.0
29,29,321.0,4.0
30,30,382.0,6.0
31,31,456.0,8.0
32,32,456.0,8.0
33,33,798.0,8.0
34,34,1140.0,21.0
35,35,1140.0,21.0
36,36,1543.0,55.0
37,37,1950.0,55.0
38,38,2626.0,71.0
39,39,2689.0,137.0
40,40,3983.0,177.0
41,41,5018.0,233.0
42,42,5683.0,281.0
43,43,6650.0,335.0
44,44,8077.0,422.0
45,45,9529.0,465.0
46,46,11658.0,578.0
47,47,14543.0,759.0
48,48,17089.0,1019.0
49,49,19522.0,1228.0
50,50,22141.0,1408.0
51,51,25150.0,1789.0
52,52,29474.0,2352.0
53,53,33718.0,2921.0
54,54,38168.0,3605.0
55,55,41903.0,4313.0
56,56,47806.0,4934.0
57,57,51608.0,5373.0
58,58,55242.0,6159.0
59,59,60733.0,7097.0
60,60,65077.0,7978.0
61,61,73758.0,8958.0
62,62,78991.0,9875.0
63,63,84279.0,10612.0
64,64,88621.0,11329.0
