,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,1.0,0.0
24,24,1.0,0.0
25,25,1.0,0.0
26,26,1.0,0.0
27,27,1.0,0.0
28,28,1.0,0.0
29,29,1.0,0.0
30,30,1.0,0.0
31,31,1.0,0.0
32,32,1.0,0.0
33,33,3.0,1.0
34,34,3.0,1.0
35,35,3.0,1.0
36,36,7.0,1.0
37,37,14.0,2.0
38,38,14.0,2.0
39,39,16.0,2.0
40,40,29.0,3.0
41,41,47.0,3.0
42,42,73.0,3.0
43,43,73.0,3.0
44,44,97.0,3.0
45,45,145.0,5.0
46,46,196.0,5.0
47,47,310.0,5.0
48,48,356.0,9.0
49,49,475.0,10.0
50,50,548.0,13.0
51,51,645.0,17.0
52,52,794.0,20.0
53,53,897.0,22.0
54,54,1072.0,27.0
55,55,1225.0,32.0
56,56,1308.0,37.0
57,57,1319.0,38.0
58,58,1462.0,45.0
59,59,1668.0,52.0
60,60,1892.0,57.0
61,61,2203.0,69.0
62,62,2511.0,73.0
63,63,2777.0,83.0
64,64,3102.0,93.0
