,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,5.0,0.0
31,31,10.0,0.0
32,32,10.0,0.0
33,33,10.0,0.0
34,34,10.0,0.0
35,35,16.0,0.0
36,36,22.0,0.0
37,37,22.0,0.0
38,38,31.0,0.0
39,39,40.0,0.0
40,40,71.0,1.0
41,41,98.0,1.0
42,42,204.0,2.0
43,43,120.0,2.0
44,44,141.0,2.0
45,45,187.0,2.0
46,46,231.0,3.0
47,47,271.0,3.0
48,48,304.0,4.0
49,49,342.0,5.0
50,50,401.0,9.0
51,51,495.0,9.0
52,52,586.0,9.0
53,53,653.0,12.0
54,54,757.0,15.0
55,55,902.0,21.0
56,56,1002.0,22.0
57,57,1097.0,24.0
58,58,1211.0,22.0
59,59,1440.0,27.0
60,60,1523.0,32.0
61,61,1660.0,38.0
62,62,1778.0,47.0
63,63,1875.0,50.0
64,64,1955.0,52.0
