,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,0.0,0.0
31,31,0.0,0.0
32,32,0.0,0.0
33,33,1.0,0.0
34,34,0.0,0.0
35,35,1.0,0.0
36,36,1.0,0.0
37,37,3.0,0.0
38,38,6.0,0.0
39,39,9.0,0.0
40,40,12.0,0.0
41,41,15.0,0.0
42,42,20.0,0.0
43,43,30.0,0.0
44,44,34.0,0.0
45,45,41.0,1.0
46,46,56.0,1.0
47,47,58.0,1.0
48,48,85.0,2.0
49,49,102.0,2.0
50,50,114.0,3.0
51,51,119.0,3.0
52,52,132.0,3.0
53,53,143.0,3.0
54,54,157.0,3.0
55,55,171.0,5.0
56,56,185.0,6.0
57,57,190.0,6.0
58,58,213.0,6.0
59,59,226.0,7.0
60,60,235.0,7.0
61,61,246.0,7.0
62,62,257.0,8.0
63,63,272.0,8.0
64,64,277.0,8.0
