,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,6.0,0.0
31,31,9.0,0.0
32,32,9.0,0.0
33,33,9.0,0.0
34,34,12.0,0.0
35,35,13.0,0.0
36,36,18.0,0.0
37,37,20.0,0.0
38,38,27.0,0.0
39,39,45.0,0.0
40,40,78.0,0.0
41,41,118.0,1.0
42,42,152.0,2.0
43,43,235.0,2.0
44,44,326.0,5.0
45,45,401.0,6.0
46,46,508.0,8.0
47,47,665.0,13.0
48,48,773.0,15.0
49,49,919.0,17.0
50,50,1157.0,20.0
51,51,1289.0,24.0
52,52,1530.0,29.0
53,53,1715.0,32.0
54,54,1937.0,41.0
55,55,2187.0,52.0
56,56,2486.0,64.0
57,57,2732.0,65.0
58,58,2870.0,73.0
59,59,3036.0,80.0
60,60,3018.0,89.0
61,61,3112.0,97.0
62,62,3393.0,108.0
63,63,3542.0,115.0
64,64,3705.0,122.0
