,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,0.0,0.0
31,31,1.0,0.0
32,32,6.0,0.0
33,33,6.0,0.0
34,34,12.0,0.0
35,35,16.0,0.0
36,36,22.0,0.0
37,37,22.0,0.0
38,38,33.0,0.0
39,39,62.0,0.0
40,40,96.0,0.0
41,41,122.0,0.0
42,42,165.0,0.0
43,43,192.0,0.0
44,44,219.0,2.0
45,45,280.0,2.0
46,46,335.0,2.0
47,47,381.0,3.0
48,48,409.0,5.0
49,49,426.0,6.0
50,50,473.0,7.0
51,51,523.0,8.0
52,52,584.0,10.0
53,53,643.0,12.0
54,54,704.0,12.0
55,55,743.0,14.0
56,56,837.0,16.0
57,57,875.0,16.0
58,58,946.0,18.0
59,59,1000.0,18.0
60,60,1119.0,21.0
61,61,1171.0,21.0
62,62,1228.0,25.0
63,63,1280.0,27.0
64,64,1410.0,29.0
