,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,144.0,2.0
31,31,177.0,3.0
32,32,221.0,4.0
33,33,282.0,4.0
34,34,340.0,5.0
35,35,426.0,6.0
36,36,557.0,7.0
37,37,698.0,12.0
38,38,751.0,13.0
39,39,952.0,18.0
40,40,1177.0,23.0
41,41,1364.0,24.0
42,42,1646.0,30.0
43,43,2108.0,39.0
44,44,2538.0,50.0
45,45,2998.0,65.0
46,46,3899.0,81.0
47,47,4657.0,94.0
48,48,5095.0,110.0
49,49,5852.0,124.0
50,50,7138.0,146.0
51,51,8210.0,173.0
52,52,9399.0,199.0
53,53,10773.0,238.0
54,54,12004.0,265.0
55,55,12837.0,289.0
56,56,15034.0,348.0
57,57,16019.0,380.0
58,58,17351.0,432.0
59,59,18897.0,495.0
60,60,19710.0,544.0
61,61,21081.0,583.0
62,62,21706.0,605.0
63,63,22795.0,641.0
64,64,23931.0,715.0
