,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,15.0,0.0
31,31,34.0,0.0
32,32,45.0,0.0
33,33,49.0,0.0
34,34,101.0,1.0
35,35,131.0,1.0
36,36,160.0,1.0
37,37,160.0,2.0
38,38,184.0,2.0
39,39,277.0,4.0
40,40,363.0,4.0
41,41,390.0,4.0
42,42,591.0,6.0
43,43,704.0,7.0
44,44,723.0,8.0
45,45,1021.0,16.0
46,46,1430.0,19.0
47,47,1433.0,27.0
48,48,1740.0,31.0
49,49,2307.0,47.0
50,50,2311.0,47.0
51,51,2966.0,69.0
52,52,2982.0,69.0
53,53,3342.0,80.0
54,54,3742.0,97.0
55,55,4188.0,111.0
56,56,4950.0,140.0
57,57,5183.0,150.0
58,58,5429.0,179.0
59,59,5655.0,193.0
60,60,5655.0,193.0
61,61,6202.0,226.0
62,62,6513.0,250.0
63,63,7307.0,289.0
64,64,7691.0,306.0
