,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,2.0,0.0
31,31,3.0,0.0
32,32,5.0,0.0
33,33,11.0,0.0
34,34,22.0,0.0
35,35,24.0,0.0
36,36,30.0,0.0
37,37,68.0,0.0
38,38,68.0,0.0
39,39,159.0,2.0
40,40,194.0,3.0
41,41,194.0,4.0
42,42,327.0,8.0
43,43,415.0,10.0
44,44,618.0,12.0
45,45,875.0,19.0
46,46,1012.0,21.0
47,47,1291.0,27.0
48,48,1524.0,33.0
49,49,1993.0,34.0
50,50,2571.0,36.0
51,51,3128.0,69.0
52,52,3557.0,85.0
53,53,3824.0,112.0
54,54,4914.0,131.0
55,55,5276.0,165.0
56,56,5675.0,189.0
57,57,6906.0,206.0
58,58,7781.0,277.0
59,59,7781.0,326.0
60,60,9784.0,380.0
61,61,10538.0,448.0
62,62,11510.0,494.0
63,63,12035.0,554.0
64,64,13381.0,602.0
