,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,15.0,2.0
31,31,28.0,2.0
32,32,35.0,2.0
33,33,50.0,2.0
34,34,76.0,3.0
35,35,115.0,4.0
36,36,155.0,5.0
37,37,216.0,6.0
38,38,314.0,7.0
39,39,417.0,9.0
40,40,563.0,10.0
41,41,659.0,13.0
42,42,1004.0,13.0
43,43,1227.0,18.0
44,44,1412.0,18.0
45,45,1682.0,23.0
46,46,2357.0,29.0
47,47,2900.0,35.0
48,48,3763.0,54.0
49,49,4246.0,56.0
50,50,5473.0,63.0
51,51,6741.0,85.0
52,52,6956.0,87.0
53,53,9008.0,164.0
54,54,10268.0,170.0
55,55,11537.0,195.0
56,56,12350.0,221.0
57,57,13324.0,236.0
58,58,14545.0,283.0
59,59,15456.0,309.0
60,60,16364.0,354.0
61,61,17531.0,390.0
62,62,18494.0,438.0
