,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,17.0,0.0
31,31,23.0,0.0
32,32,31.0,1.0
33,33,42.0,1.0
34,34,66.0,1.0
35,35,99.0,1.0
36,36,121.0,1.0
37,37,146.0,1.0
38,38,199.0,3.0
39,39,287.0,10.0
40,40,420.0,13.0
41,41,507.0,14.0
42,42,621.0,25.0
43,43,772.0,25.0
44,44,1026.0,32.0
45,45,1247.0,40.0
46,46,1525.0,48.0
47,47,2000.0,64.0
48,48,2366.0,69.0
49,49,2651.0,80.0
50,50,2808.0,87.0
51,51,3929.0,111.0
52,52,4638.0,139.0
53,53,5348.0,163.0
54,54,5831.0,184.0
55,55,6160.0,201.0
56,56,6647.0,211.0
57,57,7314.0,229.0
58,58,8822.0,329.0
59,59,9901.0,362.0
60,60,10566.0,379.0
61,61,11485.0,416.0
62,62,12159.0,429.0
63,63,12452.0,433.0
64,64,13315.0,465.0
