,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,0.0,0.0
31,31,0.0,0.0
32,32,0.0,0.0
33,33,1.0,0.0
34,34,2.0,0.0
35,35,5.0,0.0
36,36,5.0,0.0
37,37,8.0,0.0
38,38,9.0,0.0
39,39,11.0,0.0
40,40,23.0,0.0
41,41,36.0,0.0
42,42,42.0,0.0
43,43,68.0,0.0
44,44,81.0,0.0
45,45,91.0,0.0
46,46,146.0,3.0
47,47,205.0,3.0
48,48,234.0,4.0
49,49,281.0,5.0
50,50,340.0,6.0
51,51,515.0,8.0
52,52,566.0,9.0
53,53,776.0,9.0
54,54,891.0,9.0
55,55,1022.0,10.0
56,56,1078.0,10.0
57,57,1101.0,10.0
58,58,1170.0,13.0
59,59,1210.0,15.0
60,60,1232.0,18.0
61,61,1354.0,24.0
62,62,1396.0,25.0
